Year,Month,Dekad,Rainfall(mm),Average(mm)
2018,6,2,21.6672,14.9757
2018,6,3,28.6697,13.2858
2018,7,1,17.4925,14.7383
2018,7,2,14.1208,15.8419
2018,7,3,13.1868,20.3294
2018,8,1,6.4342,15.5339
2018,8,2,9.9406,16.7419
2018,8,3,36.535,19.9081
2018,9,1,7.2325,11.5402
2018,9,2,5.3419,9.6345
2018,9,3,6.8192,9.6769
2018,10,1,9.091,13.2087
2018,10,2,18.2045,15.5893
2018,10,3,12.6793,19.6413
2018,11,1,12.2614,24.6364
2018,11,2,15.3289,21.5681
2018,11,3,11.9349,22.5113
2018,12,1,31.6925,16.811
2018,12,2,43.9388,16.9599
2018,12,3,8.4076,18.3763
2019,1,1,4.5234,9.049
2019,1,2,6.141,10.2445
2019,1,3,3.6117,9.7117
2019,2,1,2.6899,8.6781
2019,2,2,4.22,11.6488
2019,2,3,8.4706,8.7773
2019,3,1,15.737,20.7857
2019,3,2,4.2466,22.0756
2019,3,3,15.311,30.5914
2019,4,1,11.4483,38.0823
2019,4,2,7.6406,34.4192
2019,4,3,73.7753,39.6816
2019,5,1,14.7655,30.9658
2019,5,2,16.0962,24.8583
2019,5,3,20.5819,20.1955
2019,6,1,45.9183,16.7653
2019,6,2,12.952,14.9757
2019,6,3,20.8783,13.2858
2019,7,1,11.0594,14.7383
2019,7,2,18.9027,15.8419
2019,7,3,31.0523,20.3294
2019,8,1,13.7868,15.5339
2019,8,2,18.248,16.7419
2019,8,3,32.937,19.9081
2019,9,1,18.7498,11.5402
2019,9,2,7.4916,9.6345
2019,9,3,14.5956,9.6769
2019,10,1,26.9627,13.2087
2019,10,2,40.2405,15.5893
2019,10,3,39.4704,19.6413
2019,11,1,18.286,24.6364
2019,11,2,24.4568,21.5681
2019,11,3,75.1842,22.5113
2019,12,1,79.5029,16.811
2019,12,2,19.806,16.9599
2019,12,3,40.2534,18.3763
2020,1,1,6.7828,9.049
2020,1,2,14.0041,10.2445
2020,1,3,40.4183,9.7117
2020,2,1,17.1618,8.6781
2020,2,2,6.8128,11.6488
2020,2,3,12.6379,8.7773
2020,3,1,59.9891,20.7857
2020,3,2,31.4706,22.0756
2020,3,3,76.0107,30.5914
2020,4,1,17.0327,38.0823
2020,4,2,87.9677,34.4192
2020,4,3,91.3735,39.6816
2020,5,1,40.8378,30.9658
2020,5,2,21.4434,24.8583
2020,5,3,14.9076,20.1955
2020,6,1,27.4306,16.7653
2020,6,2,27.0858,14.9757
2020,6,3,24.5969,13.2858
2020,7,1,19.0319,14.7383
2020,7,2,24.7968,15.8419
2020,7,3,29.3887,20.3294
2020,8,1,24.0014,15.5339
2020,8,2,38.7971,16.7419
2020,8,3,24.386,19.9081
2020,9,1,20.2284,11.5402
2020,9,2,10.7846,9.6345
2020,9,3,19.3512,9.6769
2020,10,1,21.9886,13.2087
2020,10,2,29.0519,15.5893
2020,10,3,21.5257,19.6413
2020,11,1,28.2591,24.6364
2020,11,2,27.7177,21.5681
2020,11,3,29.6991,22.5113
2020,12,1,14.2405,16.811
2020,12,2,9.6892,16.9599
2020,12,3,13.5259,18.3763
2021,1,1,15.3874,9.049
2021,1,2,7.7348,10.2445
2021,1,3,4.1788,9.7117
2021,2,1,9.5803,8.6781
2021,2,2,14.1342,11.6488
2021,2,3,15.5344,8.7773
2021,3,1,7.9345,20.7857
2021,3,2,11.3753,22.0756
2021,3,3,20.5482,30.5914
2021,4,1,31.7275,38.0823
2021,4,2,18.4741,34.4192
2021,4,3,38.1852,39.6816
2021,5,1,77.9677,30.9658
2021,5,2,30.9679,24.8583
2021,5,3,12.7889,20.1955
2021,6,1,7.7379,16.7653
2021,6,2,11.025,14.9757
2021,6,3,11.7388,13.2858
2021,7,1,18.3797,14.7383
2021,7,2,15.0744,15.8419
2021,7,3,10.3478,20.3294
2021,8,1,17.0307,15.5339
2021,8,2,16.3799,16.7419
2021,8,3,17.0614,19.9081
2021,9,1,14.3778,11.5402
2021,9,2,20.4722,9.6345
2021,9,3,12.2279,9.6769
2021,10,1,20.1254,13.2087
2021,10,2,10.5269,15.5893
2021,10,3,10.8638,19.6413
2021,11,1,15.6228,24.6364
2021,11,2,8.737,21.5681
2021,11,3,21.1428,22.5113
2021,12,1,13.9188,16.811
2021,12,2,11.1313,16.9599
2021,12,3,18.4197,18.3763
2022,1,1,3.7318,9.049
2022,1,2,23.2305,10.2445
2022,1,3,9.2338,9.7117
2022,2,1,13.4889,8.6781
2022,2,2,18.2873,11.6488
2022,2,3,18.1047,8.7773
2022,3,1,5.5757,20.7857
2022,3,2,8.5371,22.0756
2022,3,3,25.2223,30.5914
2022,4,1,9.7793,38.0823
2022,4,2,28.5541,34.4192
2022,4,3,63.0642,39.6816
2022,5,1,23.6051,30.9658
2022,5,2,12.0894,24.8583
2022,5,3,31.7643,20.1955
2022,6,1,10.1745,16.7653
2022,6,2,9.1751,14.9757
2022,6,3,9.7579,13.2858
2022,7,1,10.5198,14.7383
2022,7,2,12.5962,15.8419
2022,7,3,12.4631,20.3294
2022,8,1,22.8724,15.5339
2022,8,2,30.608,16.7419
2022,8,3,21.5323,19.9081
2022,9,1,19.9352,11.5402
2022,9,2,14.2207,9.6345
2022,9,3,10.5534,9.6769
2022,10,1,17.0321,13.2087
2022,10,2,11.755,15.5893
2022,10,3,7.1288,19.6413
2022,11,1,29.5341,24.6364
2022,11,2,33.2575,21.5681
2022,11,3,15.8308,22.5113
2022,12,1,13.065,16.811
2022,12,2,19.8371,16.9599
2022,12,3,21.725,18.3763
2023,1,1,3.6724,9.049
2023,1,2,2.9202,10.2445
2023,1,3,4.8774,9.7117
2023,2,1,2.0373,8.6781
2023,2,2,2.1469,11.6488
2023,2,3,2.6892,8.7773
2023,3,1,8.1213,20.7857
2023,3,2,37.1374,22.0756
